"did","gene","AF"
"XRN:5TW9X5","TP53",0.77
"XRN:5VGJE6","APC",0.3081
"XRN:5VGJE6","PTEN",0.3573
"XRN:5WL9U7","APC",0.3528
"XRN:5WL9U7","KRAS",0.2984
"XRN:5WL9U7","PTEN",0.4675
"XRN:5YGD0T","APC",0.4137
"XRN:5YGD0T","KRAS",0.5583
"XRN:5YGD0T","PTEN",0.7074
"XRN:60FEBW","APC",0.3768
"XRN:60FEBW","PIK3CA",0.2538
"XRN:60FEBW","PTEN",0.1547
"XRN:60MGJE","APC",0.3464
"XRN:60MGJE","KRAS",0.1521
"XRN:60MGJE","PIK3CA",0.1777
"XRN:60MGJE","PTEN",0.2211
"XRN:60WB63","APC",0.1566
"XRN:60WB63","KRAS",0.1467
"XRN:60WB63","PTEN",0.1893
"XRN:625VJQ","APC",0.57
"XRN:625VJQ","KRAS",0.33
"XRN:625VJQ","PTEN",0.47
"XRN:625VJQ","TP53",0.51
"XRN:626CW0","APC",0.2068
"XRN:626CW0","KRAS",0.15
"XRN:626CW0","PIK3CA",0.0846
"XRN:626CW0","PTEN",0.1769
"XRN:626CW0","TP53",0.1865
"XRN:62M534","APC",0.52
"XRN:62M534","KRAS",0.6
"XRN:62M534","PTEN",0.82
"XRN:62M534","TP53",0.9
"XRN:63WKB9","APC",0.1778
"XRN:63WKB9","KRAS",0.1776
"XRN:63WKB9","PTEN",0.1923
"XRN:63WKB9","TP53",0.1876
"XRN:644L7V","APC",0.31
"XRN:644L7V","KRAS",0.29
"XRN:644L7V","PTEN",0.36
"XRN:64EVGN","PTEN",0.01
"XRN:64EVGN","TP53",0.28
"XRN:675YGJ","APC",0.1905
"XRN:675YGJ","KRAS",0.2241
"XRN:675YGJ","PTEN",0.1825
"XRN:67SX82","APC",0.2047
"XRN:67SX82","KRAS",0.2682
"XRN:67SX82","PTEN",0.2437
"XRN:6AD8L8","APC",0.32
"XRN:6AD8L8","KRAS",0.38
"XRN:6AD8L8","PTEN",0.3
"XRN:6B4T74","KRAS",0.1983
"XRN:6B4T74","PTEN",0.2448
"XRN:6B7B35","APC",0.364
"XRN:6B7B35","KRAS",0.3229
"XRN:6B7B35","PTEN",0.412
"XRN:6C4BE1","APC",0.2019
"XRN:6C4BE1","KRAS",0.1392
"XRN:6C4BE1","PTEN",0.0124
"XRN:6CLFPE","APC",0.23
"XRN:6CLFPE","PTEN",0.34
"XRN:6CLFPE","TP53",0.25
"XRN:6CN7JU","APC",0.3093
"XRN:6CN7JU","KRAS",0.2754
"XRN:6CN7JU","PTEN",0.3724
"XRN:6CN7JU","TP53",0.4409
"XRN:6DJ8CJ","APC",0.52
"XRN:6DJ8CJ","KRAS",0.24
"XRN:6DJ8CJ","PTEN",0.28
"XRN:6EA0JS","APC",0.53
"XRN:6EA0JS","KRAS",0.26
"XRN:6EA0JS","PTEN",0.35
"XRN:6EKUMX","PTEN",0.15
"XRN:6EKUMX","TP53",0.35
"XRN:6FRUFF","APC",0.4
"XRN:6FRUFF","KRAS",0.86
"XRN:6FRUFF","PTEN",0.71
"XRN:6FRUFF","TP53",0.78
"XRN:6FV5W8","APC",0.2923
"XRN:6FV5W8","KRAS",0.291
"XRN:6FV5W8","PIK3CA",0.1482
"XRN:6FV5W8","PTEN",0.05
"XRN:6GBPRS","KRAS",0.0556
"XRN:6GBPRS","PTEN",0.0647
"XRN:6GBPRS","TP53",0.063
"XRN:6HCK9J","APC",0.35
"XRN:6HCK9J","KRAS",0.37
"XRN:6HCK9J","PTEN",0.35
"XRN:6HDBLG","APC",0.2158
"XRN:6HDBLG","KRAS",0.2012
"XRN:6HDBLG","PIK3CA",0.1922
"XRN:6HDBLG","PTEN",0.0805
"XRN:6J0KT1","APC",0.41
"XRN:6J0KT1","KRAS",0.36
"XRN:6J0KT1","PIK3CA",0.18
"XRN:6J0KT1","PTEN",0.38
"XRN:6J0KT1","TP53",0.43
"XRN:6J0VLP","APC",0.3396
"XRN:6J0VLP","KRAS",0.4191
"XRN:6J0VLP","PTEN",0.1561
"XRN:6J9ALP","APC",0.24
"XRN:6J9ALP","KRAS",0.2
"XRN:6J9ALP","PTEN",0.28
"XRN:6KFJS2","APC",0.1713
"XRN:6KFJS2","PTEN",0.1091
"XRN:6KFJS2","TP53",0.1061
"XRN:6KSA36","APC",0.1
"XRN:6KSA36","PTEN",0.09
"XRN:6KSA36","TP53",0.17
"XRN:6LBCDU","APC",0.54
"XRN:6LBCDU","KRAS",0.53
"XRN:6LBCDU","PTEN",0.39
"XRN:6LGD63","PTEN",0.2727
"XRN:6LGD63","TP53",0.4124
"XRN:6LKWRF","APC",0.6151
"XRN:6LKWRF","KRAS",0.1813
"XRN:6LKWRF","PTEN",0.0831
"XRN:6M78F0","APC",0.4439
"XRN:6M78F0","KRAS",0.4152
"XRN:6M78F0","PIK3CA",0.4331
"XRN:6M78F0","PTEN",0.4591
"XRN:6MWC5P","KRAS",0.1677
"XRN:6MWC5P","PTEN",0.0956
"XRN:6MWC5P","TP53",0.1676
"XRN:6P78BC","APC",0.19
"XRN:6P78BC","KRAS",0.21
"XRN:6P78BC","PTEN",0.28
"XRN:6P78BC","TP53",0.46
"XRN:6PHGXN","APC",0.1633
"XRN:6PHGXN","PTEN",0.2261
"XRN:6PHGXN","TP53",0.1828
"XRN:6PMCB4","APC",0.2641
"XRN:6PMCB4","KRAS",0.2903
"XRN:6PMCB4","PIK3CA",0.2751
"XRN:6PMCB4","PTEN",0.414
"XRN:6PMCB4","TP53",0.3928
"XRN:6R1B1X","APC",0.381
"XRN:6R1B1X","PTEN",0.5475
"XRN:6R1B1X","TP53",0.6667
"XRN:6SEJ26","APC",0.0915
"XRN:6SEJ26","KRAS",0.0861
"XRN:6SEJ26","PTEN",0.0824
"XRN:6SG5LX","APC",0.1706
"XRN:6SG5LX","KRAS",0.1595
"XRN:6SG5LX","PTEN",0.1872
"XRN:6SN94P","APC",0.8395
"XRN:6SN94P","KRAS",0.4477
"XRN:6SN94P","PTEN",0.7159
"XRN:6UR7S7","APC",0.44
"XRN:6UR7S7","KRAS",0.31
"XRN:6UR7S7","PTEN",0.39
"XRN:6USCYU","PTEN",0.0658
"XRN:6USCYU","TP53",0.0938
"XRN:6WM03P","KRAS",0.2066
"XRN:6WM03P","PTEN",0.1504
"XRN:6WM03P","TP53",0.2538
"XRN:70453Q","APC",0.1585
"XRN:70453Q","PIK3CA",0.0133
"XRN:70453Q","PTEN",0.2163
"XRN:70453Q","TP53",0.4613
"XRN:71NY3J","APC",0.0857
"XRN:71NY3J","PIK3CA",0.1637
"XRN:71NY3J","PTEN",0.1346
"XRN:72CB62","PTEN",0.4774
"XRN:72CB62","TP53",0.427
"XRN:72QB0U","APC",0.1578
"XRN:72QB0U","KRAS",0.1365
"XRN:72QB0U","PTEN",0.0348
"XRN:7338TK","APC",0.2652
"XRN:7338TK","KRAS",0.3228
"XRN:7338TK","PTEN",0.3964
"XRN:759L51","APC",0.2924
"XRN:759L51","KRAS",0.2967
"XRN:759L51","PTEN",0.2105
"XRN:759L51","TP53",0.3819
"XRN:76HQLE","APC",0.2943
"XRN:76HQLE","PTEN",0.3745
"XRN:76HQLE","TP53",0.3734
"XRN:78DAXQ","APC",0.2361
"XRN:78DAXQ","KRAS",0.2344
"XRN:78DAXQ","PTEN",0.1189
"XRN:78DAXQ","TP53",0.3413
"XRN:78QF2N","APC",0.67
"XRN:78QF2N","PTEN",0.45
"XRN:78QF2N","TP53",0.5
"XRN:7A1TRQ","PTEN",0.32
"XRN:7A1TRQ","TP53",0.36
"XRN:7B5HPM","APC",0.4581
"XRN:7B5HPM","PTEN",0.1937
"XRN:7B5HPM","TP53",0.4828
"XRN:7B90F1","APC",0.2975
"XRN:7B90F1","KRAS",0.2996
"XRN:7B90F1","PIK3CA",0.3207
"XRN:7B90F1","PTEN",0.3876
"XRN:7CDRG8","APC",0.09
"XRN:7CDRG8","KRAS",0.07
"XRN:7CDRG8","PTEN",0.12
"XRN:7CDRG8","TP53",0.1
"XRN:7D8HPP","APC",0.3913
"XRN:7D8HPP","PIK3CA",0.3343
"XRN:7D8HPP","PTEN",0.4635
"XRN:7DGHPS","PIK3CA",0.1842
"XRN:7DGHPS","PTEN",0.8911
"XRN:7ELNHT","KRAS",0.72
"XRN:7ELNHT","PTEN",0.64
"XRN:7ELNHT","TP53",0.59
"XRN:7FYGH8","APC",0.1803
"XRN:7FYGH8","KRAS",0.1734
"XRN:7FYGH8","PIK3CA",0.4651
"XRN:7FYGH8","PTEN",0.2074
"XRN:7GD595","PTEN",0.5932
"XRN:7GD595","TP53",0.5818
"XRN:7HMCBS","APC",0.3111
"XRN:7HMCBS","KRAS",0.248
"XRN:7HMCBS","PIK3CA",0.2453
"XRN:7HMCBS","PTEN",0.2483
"XRN:7HWQC3","APC",0.34
"XRN:7HWQC3","KRAS",0.24
"XRN:7HWQC3","PTEN",0.17
"XRN:7HWQC3","TP53",0.17
"XRN:7JYNEG","APC",0.2342
"XRN:7JYNEG","KRAS",0.3276
"XRN:7JYNEG","PTEN",0.397
"XRN:7JYNEG","TP53",0.5426
"XRN:7M12WN","APC",0.39
"XRN:7M12WN","PTEN",0.23
"XRN:7M12WN","TP53",0.51
"XRN:7MF2VV","KRAS",0.05
"XRN:7MF2VV","PTEN",0.06
"XRN:7MF2VV","TP53",0.05
"XRN:7MQMS6","APC",0.0831
"XRN:7MQMS6","KRAS",0.089
"XRN:7MQMS6","PIK3CA",0.0825
"XRN:7MQMS6","PTEN",0.1136
"XRN:7P7EG3","APC",0.16
"XRN:7P7EG3","PTEN",0.23
"XRN:7P7EG3","TP53",0.19
"XRN:7PPE25","KRAS",0.22
"XRN:7PPE25","PTEN",0.19
"XRN:7R5U7N","APC",0.2
"XRN:7R5U7N","KRAS",0.18
"XRN:7R5U7N","PTEN",0.09
"XRN:7R5U7N","TP53",0.19
"XRN:7RY9PS","APC",0.5408
"XRN:7RY9PS","PTEN",0.5694
"XRN:7RY9PS","TP53",0.6124
"XRN:7S6CEB","APC",0.3985
"XRN:7S6CEB","KRAS",0.5697
"XRN:7S6CEB","PTEN",0.1189
"XRN:7S6CEB","TP53",0.3889
"XRN:7SSBQY","KRAS",0.6101
"XRN:7SSBQY","PTEN",0.2082
"XRN:7SSBQY","TP53",0.2562
"XRN:7U4T84","APC",0.5514
"XRN:7U4T84","KRAS",0.3635
"XRN:7U4T84","PTEN",0.1058
"XRN:7W2G4W","KRAS",0.29
"XRN:7W2G4W","PIK3CA",0.26
"XRN:7W2G4W","PTEN",0.28
"XRN:7YMXSY","PTEN",0.2957
"XRN:7YMXSY","TP53",0.3019
"XRN:7YTNM9","APC",0.3708
"XRN:7YTNM9","KRAS",0.6254
"XRN:7YTNM9","PIK3CA",0.3501
"XRN:7YTNM9","PTEN",0.5445
"XRN:802JAM","APC",0.2824
"XRN:802JAM","KRAS",0.1502
"XRN:802JAM","PTEN",0.0462
"XRN:81ABVW","APC",0.2333
"XRN:81ABVW","KRAS",0.2404
"XRN:81ABVW","PIK3CA",0.2431
"XRN:81ABVW","PTEN",0.245
"XRN:820M5A","APC",0.3508
"XRN:820M5A","KRAS",0.4249
"XRN:820M5A","PIK3CA",0.0292
"XRN:820M5A","PTEN",0.1276
"XRN:820M5A","TP53",0.1025
"XRN:83QNX1","PTEN",0.1588
"XRN:83QNX1","TP53",0.2391
"XRN:845F31","APC",0.1926
"XRN:845F31","KRAS",0.2282
"XRN:845F31","PTEN",0.1367
"XRN:845F31","TP53",0.4011
"XRN:858JJX","APC",0.19
"XRN:858JJX","PIK3CA",0.19
"XRN:858JJX","PTEN",0.21
"XRN:85MP4F","APC",0.3035
"XRN:85MP4F","PTEN",0.5787
"XRN:85X1K2","APC",0.1592
"XRN:85X1K2","PIK3CA",0.0748
"XRN:85X1K2","PTEN",0.3316
"XRN:874VFQ","APC",0.1907
"XRN:874VFQ","PTEN",0.2356
"XRN:87F90P","APC",0.45
"XRN:87F90P","KRAS",0.4
"XRN:87F90P","PTEN",0.16
"XRN:87T5HG","APC",0.3125
"XRN:87T5HG","KRAS",0.1573
"XRN:87T5HG","PTEN",0.3297
"XRN:87T5HG","TP53",0.3375
"XRN:888YG3","APC",0.3049
"XRN:888YG3","PTEN",0.3546
"XRN:888YG3","TP53",0.4538
"XRN:88WEV7","APC",0.2551
"XRN:88WEV7","KRAS",0.3663
"XRN:88WEV7","PTEN",0.4046
"XRN:88WEV7","TP53",0.2857
"XRN:8A47FL","APC",0.3706
"XRN:8A47FL","KRAS",0.3193
"XRN:8A47FL","PTEN",0.2516
"XRN:8AFNB8","APC",0.0395
"XRN:8AFNB8","PTEN",0.0905
"XRN:8AT9WL","APC",0.2935
"XRN:8AT9WL","KRAS",0.2721
"XRN:8AT9WL","TP53",0.3387
"XRN:8BW61V","APC",0.3477
"XRN:8BW61V","KRAS",0.4243
"XRN:8BW61V","PTEN",0.4869
"XRN:8EUUDX","APC",0.0884
"XRN:8EUUDX","PTEN",0.1955
"XRN:8EUUDX","TP53",0.3673
"XRN:8FC0L0","KRAS",0.2851
"XRN:8FC0L0","PTEN",0.3727
"XRN:8FNKGA","APC",0.3461
"XRN:8FNKGA","PTEN",0.4167
"XRN:8FNKGA","TP53",0.4105
"XRN:8HYPUD","APC",0.1521
"XRN:8HYPUD","KRAS",0.0835
"XRN:8HYPUD","PIK3CA",0.1199
"XRN:8HYPUD","PTEN",0.1246
"XRN:8L72RD","APC",0.1919
"XRN:8L72RD","KRAS",0.1911
"XRN:8L72RD","PTEN",0.2124
"XRN:8LDMQ0","PTEN",0.1577
"XRN:8LDMQ0","TP53",0.1587
"XRN:8MFKQV","APC",0.1075
"XRN:8MFKQV","KRAS",0.0958
"XRN:8MFKQV","PIK3CA",0.1342
"XRN:8MFKQV","PTEN",0.0959
"XRN:8PCXR4","APC",0.1962
"XRN:8PCXR4","KRAS",0.1735
"XRN:8PCXR4","PTEN",0.1201
"XRN:8PCXR4","TP53",0.2061
"XRN:8PRC02","APC",0.27
"XRN:8PRC02","PIK3CA",0.27
"XRN:8PRC02","PTEN",0.34
"XRN:8PRC02","TP53",0.61
"XRN:8Q8MNB","APC",0.2823
"XRN:8Q8MNB","KRAS",0.4517
"XRN:8Q8MNB","PTEN",0.1931
"XRN:8Q8MNB","TP53",0.447
"XRN:8QV269","APC",0.151
"XRN:8QV269","KRAS",0.2605
"XRN:8QV269","PIK3CA",0.1549
"XRN:8QV269","PTEN",0.2404
"XRN:8QV269","TP53",0.2469
"XRN:8R3X39","APC",0.1516
"XRN:8R3X39","KRAS",0.2759
"XRN:8R3X39","PTEN",0.1373
"XRN:8R7X64","APC",0.3738
"XRN:8R7X64","KRAS",0.2199
"XRN:8R7X64","PTEN",0.3413
"XRN:8R7X64","TP53",0.32
"XRN:8RT814","APC",0.3655
"XRN:8RT814","KRAS",0.5136
"XRN:8RT814","PIK3CA",0.3452
"XRN:8RT814","PTEN",0.5983
"XRN:8RUECT","KRAS",0.2488
"XRN:8RUECT","PTEN",0.1488
"XRN:8RUECT","TP53",0.1596
"XRN:8SD20G","APC",0.122
"XRN:8SD20G","KRAS",0.142
"XRN:8SD20G","PIK3CA",0.1314
"XRN:8SD20G","PTEN",0.1565
"XRN:8SRHXM","APC",0.4686
"XRN:8SRHXM","KRAS",0.2291
"XRN:8SRHXM","PIK3CA",0.1493
"XRN:8SRHXM","PTEN",0.3593
"XRN:8SRHXM","TP53",0.3217
"XRN:8ST8JF","APC",0.29
"XRN:8ST8JF","KRAS",0.16
"XRN:8ST8JF","PTEN",0.14
"XRN:8TDR7S","APC",0.2106
"XRN:8TDR7S","KRAS",0.1798
"XRN:8TDR7S","PTEN",0.2859
"XRN:8TDR7S","TP53",0.2745
"XRN:8THN7L","PTEN",0.4891
"XRN:8THN7L","TP53",0.8466
"XRN:8U1RKV","APC",0.1151
"XRN:8U1RKV","KRAS",0.2377
"XRN:8U1RKV","PTEN",0.1496
"XRN:8U1RKV","TP53",0.1552
"XRN:8UXQ3F","APC",0.3867
"XRN:8UXQ3F","KRAS",0.2533
"XRN:8UXQ3F","PIK3CA",0.2575
"XRN:8UXQ3F","PTEN",0.3333
"XRN:8X1X78","APC",0.1158
"XRN:8X1X78","KRAS",0.2162
"XRN:8X1X78","PIK3CA",0.1259
"XRN:8X1X78","PTEN",0.1405
"XRN:8XTTWB","APC",0.2983
"XRN:8XTTWB","KRAS",0.3988
"XRN:8XTTWB","PIK3CA",0.2566
"XRN:8XTTWB","PTEN",0.2896
"XRN:8YCUS9","APC",0.1317
"XRN:8YCUS9","PTEN",0.0709
"XRN:8YCUS9","TP53",0.1038
"XRN:90MXBK","APC",0.4053
"XRN:90MXBK","KRAS",0.4053
"XRN:90MXBK","PTEN",0.6873
"XRN:91LF3P","KRAS",0.3268
"XRN:91LF3P","PTEN",0.3279
"XRN:91LF3P","TP53",0.46
"XRN:92TLWH","APC",0.47
"XRN:92TLWH","KRAS",0.29
"XRN:92TLWH","PTEN",0.26
"XRN:931YXH","KRAS",0.2692
"XRN:931YXH","PTEN",0.4224
"XRN:931YXH","TP53",0.2073
"XRN:93P07B","APC",0.622
"XRN:93P07B","KRAS",0.3429
"XRN:93P07B","PTEN",0.5197
"XRN:93P07B","TP53",0.5365
"XRN:93PCW9","APC",0.56
"XRN:93PCW9","KRAS",0.14
"XRN:93PCW9","PTEN",0.2
"XRN:93PCW9","TP53",0.17
"XRN:94F636","APC",0.5962
"XRN:94F636","KRAS",0.4133
"XRN:94F636","PTEN",0.6547
"XRN:94F636","TP53",0.5673
"XRN:94FLCH","APC",0.67
"XRN:94FLCH","KRAS",0.4
"XRN:94FLCH","PTEN",0.41
"XRN:94FLCH","TP53",0.49
"XRN:967VHA","APC",0.1639
"XRN:967VHA","KRAS",0.215
"XRN:967VHA","PTEN",0.0715
"XRN:967VHA","TP53",0.2305
"XRN:96BQ1W","APC",0.1532
"XRN:96BQ1W","KRAS",0.1585
"XRN:96BQ1W","PTEN",0.1893
"XRN:96JJTD","APC",0.28
"XRN:96JJTD","KRAS",0.23
"XRN:96JJTD","PTEN",0.28
"XRN:96JJTD","TP53",0.43
"XRN:975PM2","APC",0.6683
"XRN:975PM2","PTEN",0.4418
"XRN:975PM2","TP53",0.7273
"XRN:985N0U","APC",0.0757
"XRN:985N0U","KRAS",0.1058
"XRN:985N0U","PTEN",0.0909
"XRN:985N0U","TP53",0.0725
"XRN:98MN3W","PIK3CA",0.23
"XRN:98MN3W","PTEN",0.03
"XRN:98MN3W","TP53",0.29
"XRN:98Q1B7","APC",0.3598
"XRN:98Q1B7","PTEN",0.2298
"XRN:98SHSD","KRAS",0.3
"XRN:98SHSD","PTEN",0.07
"XRN:98SHSD","TP53",0.29
"XRN:9AU4X7","APC",0.3827
"XRN:9AU4X7","KRAS",0.5485
"XRN:9AU4X7","PIK3CA",0.2461
"XRN:9AU4X7","PTEN",0.3846
"XRN:9CQSHK","APC",0.11
"XRN:9CQSHK","KRAS",0.07
"XRN:9CQSHK","PIK3CA",0.05
"XRN:9CQSHK","PTEN",0.13
"XRN:9CVXBR","APC",0.1369
"XRN:9CVXBR","KRAS",0.0937
"XRN:9CVXBR","PTEN",0.1406
"XRN:9DGCLV","APC",0.283
"XRN:9DGCLV","PTEN",0.2328
"XRN:9DGCLV","TP53",0.4085
"XRN:9FU9EG","KRAS",0.4577
"XRN:9FU9EG","TP53",0.6606
"XRN:9H8Q04","APC",0.8073
"XRN:9H8Q04","PTEN",0.8588
"XRN:9H8Q04","TP53",0.7967
"XRN:9HD1PD","APC",0.4548
"XRN:9HD1PD","PTEN",0.4291
"XRN:9HD1PD","TP53",0.5765
"XRN:9HR9DQ","APC",0.5757
"XRN:9HR9DQ","KRAS",0.3512
"XRN:9HR9DQ","PTEN",0.479
"XRN:9HR9DQ","TP53",0.5709
"XRN:9HRPCY","APC",0.43
"XRN:9HRPCY","KRAS",0.3
"XRN:9HRPCY","PIK3CA",0.04
"XRN:9HRPCY","PTEN",0.06
"XRN:9J517F","APC",0.2667
"XRN:9J517F","PIK3CA",0.3405
"XRN:9J517F","PTEN",0.014
"XRN:9J517F","TP53",0.3245
"XRN:9K6RWE","APC",0.34
"XRN:9K6RWE","KRAS",0.28
"XRN:9K6RWE","PIK3CA",0.03
"XRN:9K6RWE","PTEN",0.06
"XRN:9K6RWE","TP53",0.07
"XRN:9KB13H","APC",0.39
"XRN:9KB13H","KRAS",0.43
"XRN:9KB13H","PIK3CA",0.05
"XRN:9KB13H","PTEN",0.31
"XRN:9KB13H","TP53",0.49
"XRN:9LTHWS","KRAS",0.4076
"XRN:9LTHWS","PIK3CA",0.0919
"XRN:9LTHWS","PTEN",0.3669
"XRN:9LTHWS","TP53",0.3922
"XRN:9MSTHM","PTEN",0.2446
"XRN:9MSTHM","TP53",0.2758
"XRN:9NRNLE","KRAS",0.11
"XRN:9NRNLE","PTEN",0.1
"XRN:9PB9QJ","APC",0.25
"XRN:9PB9QJ","PTEN",0.04
"XRN:9PB9QJ","TP53",0.5
"XRN:9PUERC","APC",0.8124
"XRN:9PUERC","KRAS",0.8831
"XRN:9PUERC","PTEN",0.6805
"XRN:9PUERC","TP53",0.7377
"XRN:9Q054D","APC",0.538
"XRN:9Q054D","KRAS",0.2316
"XRN:9Q054D","PIK3CA",0.3428
"XRN:9Q054D","PTEN",0.2523
"XRN:9Q733W","APC",0.2075
"XRN:9Q733W","KRAS",0.1569
"XRN:9Q733W","PIK3CA",0.1446
"XRN:9Q733W","PTEN",0.1487
"XRN:9Q9ST8","APC",0.3377
"XRN:9Q9ST8","KRAS",0.4687
"XRN:9Q9ST8","PTEN",0.0145
"XRN:9QA3Q4","APC",0.2632
"XRN:9QA3Q4","KRAS",0.3454
"XRN:9QA3Q4","PTEN",0.3341
"XRN:9QA3Q4","TP53",0.3317
"XRN:9S8TEQ","APC",0.5
"XRN:9S8TEQ","KRAS",0.24
"XRN:9S8TEQ","PTEN",0.21
"XRN:9S8TEQ","TP53",0.74
"XRN:9TLJGD","APC",0.26
"XRN:9TLJGD","KRAS",0.26
"XRN:9TLJGD","PTEN",0.31
"XRN:9TLJGD","TP53",0.45
"XRN:9U6TGP","PTEN",0.0988
"XRN:9U6TGP","TP53",0.6524
"XRN:9UFVLP","APC",0.25
"XRN:9UFVLP","KRAS",0.28
"XRN:9UFVLP","PIK3CA",0.27
"XRN:9UFVLP","PTEN",0.52
"XRN:9VEA9B","APC",0.3358
"XRN:9VEA9B","TP53",0.3319
"XRN:9VVSB7","APC",0.24
"XRN:9VVSB7","KRAS",0.16
"XRN:9VVSB7","PIK3CA",0.26
"XRN:9VVSB7","PTEN",0.28
"XRN:9W62QD","APC",0.39
"XRN:9W62QD","PTEN",0.75
"XRN:9W62QD","TP53",0.69
"XRN:9WSN7W","APC",0.32
"XRN:9WSN7W","KRAS",0.3
"XRN:9WSN7W","PIK3CA",0.29
"XRN:9WSN7W","PTEN",0.32
"XRN:9WSN7W","TP53",0.49
"XRN:9X1NMM","APC",0.261
"XRN:9X1NMM","KRAS",0.534
"XRN:9X1NMM","PTEN",0.4621
"XRN:9XRLTU","APC",0.292
"XRN:9XRLTU","KRAS",0.3491
"XRN:9XRLTU","PTEN",0.0226
"XRN:9XRLTU","TP53",0.3392
"XRN:9YHS1W","PTEN",0.14
"XRN:9YHS1W","TP53",0.12
"XRN:A0T2WH","APC",0.1355
"XRN:A0T2WH","KRAS",0.1196
"XRN:A0T2WH","PIK3CA",0.1386
"XRN:A0T2WH","PTEN",0.1538
"XRN:A15NA0","APC",0.4051
"XRN:A15NA0","PTEN",0.3734
"XRN:A1S3LQ","APC",0.23
"XRN:A1S3LQ","PTEN",0.23
"XRN:A1S3LQ","TP53",0.2
"XRN:A39MMH","APC",0.3622
"XRN:A39MMH","KRAS",0.4253
"XRN:A39MMH","PTEN",0.1994
"XRN:A39MMH","TP53",0.3325
"XRN:A5EXP7","APC",0.2
"XRN:A5EXP7","TP53",0.24
"XRN:A6C79W","APC",0.1443
"XRN:A6C79W","KRAS",0.2561
"XRN:A6C79W","PTEN",0.1211
"XRN:A79FEK","APC",0.464
"XRN:A79FEK","KRAS",0.6168
"XRN:A79FEK","PTEN",0.5875
"XRN:A79FEK","TP53",0.6994
"XRN:A7C0LN","PTEN",0.31
"XRN:A7C0LN","TP53",0.87
"XRN:A9N5SC","PTEN",0.0823
"XRN:A9N5SC","TP53",0.0954
"XRN:A9UVCS","KRAS",0.21
"XRN:A9UVCS","PIK3CA",0.05
"XRN:A9UVCS","PTEN",0.22
"XRN:AAKQ0R","APC",0.2066
"XRN:AAKQ0R","KRAS",0.1922
"XRN:AAKQ0R","PTEN",0.2613
"XRN:AAKQ0R","TP53",0.2982
"XRN:AB0PP2","APC",0.0623
"XRN:AB0PP2","KRAS",0.1281
"XRN:AB0PP2","PIK3CA",0.0739
"XRN:AB0PP2","PTEN",0.0812
"XRN:ABCEFR","PTEN",0.23
"XRN:ABCEFR","TP53",0.57
"XRN:AEJ64V","APC",0.07
"XRN:AEJ64V","PTEN",0.122
"XRN:AEJ64V","TP53",0.2047
"XRN:AG0SQU","APC",0.12
"XRN:AG0SQU","KRAS",0.26
"XRN:AG0SQU","PTEN",0.46
"XRN:AGDE69","APC",0.2097
"XRN:AGDE69","KRAS",0.2012
"XRN:AGDE69","PTEN",0.1568
"XRN:AGDE69","TP53",0.2201
"XRN:AGEUEN","APC",0.38
"XRN:AGEUEN","KRAS",0.36
"XRN:AGEUEN","PTEN",0.47
"XRN:AH8YHE","APC",0.57
"XRN:AH8YHE","KRAS",0.19
"XRN:AH8YHE","PTEN",0.36
"XRN:AHAYK6","APC",0.4
"XRN:AHAYK6","KRAS",0.28
"XRN:AHAYK6","PTEN",0.4
"XRN:AJPV5U","KRAS",0.27
"XRN:AJPV5U","PTEN",0.17
"XRN:AJPV5U","TP53",0.39
"XRN:AJY04C","APC",0.4265
"XRN:AJY04C","KRAS",0.3118
"XRN:AJY04C","PIK3CA",0.1919
"XRN:AJY04C","PTEN",0.0808
"XRN:AKJVVD","APC",0.3816
"XRN:AKJVVD","KRAS",0.4041
"XRN:AKJVVD","PTEN",0.3699
"XRN:AKVGTY","APC",0.23
"XRN:AKVGTY","PTEN",0.25
"XRN:ALNNP2","APC",0.2428
"XRN:ALNNP2","KRAS",0.1473
"XRN:ALNNP2","PIK3CA",0.1087
"XRN:ALNNP2","PTEN",0.1208
"XRN:ALNNP2","TP53",0.1786
"XRN:AM9CDP","TP53",0.3901
"XRN:AN8L5D","APC",0.8249
"XRN:AN8L5D","PTEN",0.8609
"XRN:AN8L5D","TP53",0.9301
"XRN:APF0KA","KRAS",0.2571
"XRN:APF0KA","PIK3CA",0.2984
"XRN:APF0KA","PTEN",0.3724
"XRN:AQ035Y","KRAS",0.4002
"XRN:AQ035Y","PIK3CA",0.3987
"XRN:AQ035Y","PTEN",0.6224
"XRN:AQ035Y","TP53",0.4556
"XRN:ASAS1A","APC",0.4995
"XRN:ASAS1A","KRAS",0.3269
"XRN:ASAS1A","PTEN",0.2562
"XRN:AVKE5L","APC",0.2902
"XRN:AVKE5L","KRAS",0.3276
"XRN:AVKE5L","PTEN",0.4687
"XRN:AVKE5L","TP53",0.368
"XRN:AXT7M2","APC",0.32
"XRN:AXT7M2","KRAS",0.29
"XRN:AXT7M2","PTEN",0.16
"XRN:AY1JJT","APC",0.4364
"XRN:AY1JJT","KRAS",0.4583
"XRN:AY1JJT","PTEN",0.4567
"XRN:AYT2EN","APC",0.3985
"XRN:AYT2EN","KRAS",0.405
"XRN:AYT2EN","PTEN",0.1543
"XRN:B1N4KJ","APC",0.7232
"XRN:B1N4KJ","PTEN",0.8385
"XRN:B1N4KJ","TP53",0.6204
"XRN:B1VQ7D","APC",0.21
